192.241.215.151 - - [17/Oct/2022:00:10:20 +0300] "-" 400 1985
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 360
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 5
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 359
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=epersonRegistration&embed=feature HTTP/1.1" 200 5
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 358
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 358
188.50.134.249 - - [17/Oct/2022:10:41:06 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=epersonRegistration&embed=feature HTTP/1.1" 200 1715
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/authn/status HTTP/1.1" 200 450
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/discover/browses?size=9999 HTTP/1.1" 200 3615
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/system/scripts/metadata-export HTTP/1.1" 401 183
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/core/sites HTTP/1.1" 200 682
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/system/scripts/metadata-import HTTP/1.1" 401 183
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 359
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/discover HTTP/1.1" 200 347
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 360
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 358
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 358
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/core/communities/search/top?page=0&size=5&sort=dc.title,ASC HTTP/1.1" 200 6180
52.209.192.143 - - [17/Oct/2022:14:55:15 +0300] "GET /server/api/discover/search HTTP/1.1" 200 26122
52.209.192.143 - - [17/Oct/2022:14:55:16 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canViewUsageStatistics&embed=feature HTTP/1.1" 200 1804
52.209.192.143 - - [17/Oct/2022:14:55:16 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=epersonRegistration&embed=feature HTTP/1.1" 200 1715
52.209.192.143 - - [17/Oct/2022:14:55:16 +0300] "GET /server/api/config/properties/websvc.opensearch.svccontext HTTP/1.1" 200 260
52.209.192.143 - - [17/Oct/2022:14:55:16 +0300] "GET /server/api/config/properties/websvc.opensearch.enable HTTP/1.1" 200 239
52.209.192.143 - - [17/Oct/2022:14:55:16 +0300] "GET /server/api/discover/search/objects?sort=dc.date.accessioned,DESC&page=0&size=5&embed=thumbnail HTTP/1.1" 200 114753
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/authn/status HTTP/1.1" 200 450
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/system/scripts/metadata-export HTTP/1.1" 401 183
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/discover/browses?size=9999 HTTP/1.1" 200 3615
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/system/scripts/metadata-import HTTP/1.1" 401 183
