156.203.33.101 - - [11/Oct/2022:17:08:14 +0300] "GET /server/api/statistics HTTP/1.1" 200 375
156.203.33.101 - - [11/Oct/2022:17:08:14 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=epersonRegistration&embed=feature HTTP/1.1" 200 1715
156.203.33.101 - - [11/Oct/2022:17:08:14 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=canViewUsageStatistics&embed=feature HTTP/1.1" 200 1804
156.203.33.101 - - [11/Oct/2022:17:08:14 +0300] "OPTIONS /server/api/statistics/viewevents HTTP/1.1" 200 5
156.203.33.101 - - [11/Oct/2022:17:08:14 +0300] "POST /server/api/statistics/viewevents HTTP/1.1" 403 182
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api/authn/status HTTP/1.1" 200 450
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api/system/scripts/metadata-import HTTP/1.1" 401 183
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api/system/scripts/metadata-export HTTP/1.1" 401 183
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api/core/sites HTTP/1.1" 200 682
52.209.192.143 - - [11/Oct/2022:17:08:42 +0300] "GET /server/api/discover/browses?size=9999 HTTP/1.1" 200 3615
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 359
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/discover HTTP/1.1" 200 347
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=canManageGroups&embed=feature HTTP/1.1" 200 358
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=epersonRegistration&embed=feature HTTP/1.1" 200 1715
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/discover/search HTTP/1.1" 200 6348
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=administratorOf&embed=feature HTTP/1.1" 200 358
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/core/communities/search/top?page=0&size=5&sort=dc.title,ASC HTTP/1.1" 200 268
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 360
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=canViewUsageStatistics&embed=feature HTTP/1.1" 200 1804
52.209.192.143 - - [11/Oct/2022:17:08:43 +0300] "GET /server/api/discover/search/objects?sort=dc.date.accessioned,DESC&page=0&size=5&embed=thumbnail HTTP/1.1" 200 2226
156.203.33.101 - - [11/Oct/2022:17:08:45 +0300] "GET /server/api/authn/status HTTP/1.1" 200 450
156.203.33.101 - - [11/Oct/2022:17:08:45 +0300] "GET /server/api/config/properties/google.analytics.key HTTP/1.1" 404 187
156.203.33.101 - - [11/Oct/2022:17:08:45 +0300] "GET /server/api HTTP/1.1" 200 6798
156.203.33.101 - - [11/Oct/2022:17:08:45 +0300] "GET /server/api/config/properties/registration.verification.enabled HTTP/1.1" 200 258
156.203.33.101 - - [11/Oct/2022:17:08:45 +0300] "GET /server/api HTTP/1.1" 200 6798
156.203.33.101 - - [11/Oct/2022:17:08:45 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/0735763b-1638-4cbd-9f96-2383ebebb782&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 360
